,Unnamed: 0_x,edge_attr,cusip_x,value_x,amount_x,put_or_call_x,source,cik_x,report_date_x,year,std_value_x,Unnamed: 0_y,cusip_y,value_y,amount_y,put_or_call_y,target,cik_y,report_date_y,std_value_y,weight
19542764,17387,3M CO,88579Y101,276.0,1567.0,No,"Sontag Advisory, LLC",1646247,2019-12-31,2019,-0.03789698802995751,326633,88579Y101,1759.0,9971.0,No,Vestcor Investment Management Corp,1536925,2019-12-31,-0.03778133590033006,-0.03783916196514378
21918476,177881,AT&T INC,00206R102,2237.0,59064.0,No,"180 WEALTH ADVISORS, LLC",1730817,2019-12-31,2019,-0.03774405894958028,232360,00206R102,307.0,7849.0,No,"Royal Harbor Partners, LLC",1801876,2019-12-31,-0.03789457048712645,-0.03781931471835337
66440122,50855,APPLE INC,037833100,74307.0,560000.0,No,Yong Rong (HK) Asset Management Ltd,1738071,2020-12-31,2020,-0.03212366179364623,245949,037833100,743.0,5600.0,No,"Gruss & Co., LLC",1103738,2020-12-31,-0.03786056891698649,-0.034992115355316364
4065700,96117,TIME WARNER INC (COM NEW),887317303,155499.0,1700000.0,No,JET CAPITAL INVESTORS L P,1278235,2017-12-31,2017,-0.025791883163361826,141587,887317303,3076.0,33630.0,No,"Granite Investment Partners, LLC",1542266,2017-12-31,-0.03767862932263663,-0.03173525624299923
176193,49449,APPLE INC,037833100,9964.0,64649.0,No,Financial Enhancement Group LLC,1641438,2017-12-31,2017,-0.03714146690262728,126897,037833100,441.0,2607.0,No,Lester Murray Antman dba SimplyRich,1725888,2017-12-31,-0.0378841204632761,-0.03751279368295169
10113981,55152,BANK AMER CORP,060505104,549.0,22278.0,No,"Beaumont Financial Partners, LLC",1352764,2018-12-31,2018,-0.03787569805599372,275537,060505104,6980.0,283260.0,No,Lehman & Derafelo Financial Resources LLC,1767952,2018-12-31,-0.037374174896429246,-0.037624936476211485
33907126,67164,VANGUARD INDEX FDS (TOTAL STK MKT),922908769,17598.0,107552.0,No,COBBLESTONE CAPITAL ADVISORS LLC /NY/,1033505,2019-12-31,2019,-0.03654612748416745,178591,922908769,211806.0,1294500.0,No,Hernani Holdings LLC,1788700,2019-12-31,-0.02140076754439168,-0.028973447514279563
74915313,248211,VANGUARD BD INDEX FDS (TOTAL BND MRKT),921937835,109356.0,1240000.0,No,Hernani Holdings LLC,1788700,2020-12-31,2020,-0.0293903566747572,335174,921937835,1266.0,14353.0,No,"Colony Family Offices, LLC",1633573,2020-12-31,-0.037819782629869056,-0.03360506965231313
19631198,84352,ABBVIE INC,00287Y109,2403.0,27137.0,No,"Beacon Harbor Wealth Advisors, Inc.",1784093,2019-12-31,2019,-0.03773111339764626,118557,00287Y109,59540.0,672467.0,No,RNC CAPITAL MANAGEMENT LLC,51762,2019-12-31,-0.033275270019005994,-0.03550319170832612
4669,47070,3M CO,88579Y101,2949.0,12530.0,No,ROOF EIDAM & MAYCOCK/ADV,1028874,2017-12-31,2017,-0.03768853344971869,55428,88579Y101,3888.0,16518.0,No,"TCTC Holdings, LLC",1483870,2017-12-31,-0.03761530529751358,-0.03765191937361613
