,CIK,Name
0,0001846160,AAFMAA Wealth Management & Trust LLC
1,0001842554,"ACT Advisors, LLC."
2,0000885118,AMERICAN ASSETS INC
3,0001812198,Aaron Wealth Advisors LLC
4,0001699506,"Ackerman Capital Advisors, LLC"
5,0001722117,"Aevitas Wealth Management, Inc."
6,0001601384,"Allen Capital Group, LLC"
7,0001555170,Allworth Financial LP
8,0001665633,Alpha Omega Wealth Management LLC
9,0001348183,"AlphaMark Advisors, LLC"
10,0001772954,"Ameraudi Asset Management, Inc."
11,0001626691,"American Assets Capital Advisers, LLC"
12,0001389256,"American Assets Investment Management, LLC"
13,0001753384,Analog Century Management LP
14,0001664847,"Armbruster Capital Management, Inc."
15,0001378410,"Arrow Investment Advisors, LLC"
16,0001811491,"Auxano Advisors, LLC"
17,0001542383,"Aviance Capital Partners, LLC"
18,0001308757,BALASA DINVERNO & FOLTZ LLC
19,0001798756,"Beaumont Asset Management, L.L.C."
20,0001388142,"Bedell Frazier Investment Counseling, LLC"
21,0001598102,"Biltmore Wealth Management, LLC"
22,0001610769,"CAPROCK Group, Inc."
23,0001108969,"CHATHAM CAPITAL GROUP, INC."
24,0001002152,"COMPASS CAPITAL MANAGEMENT, INC"
25,0001163165,CONOCOPHILLIPS
26,0000709428,COZAD ASSET MANAGEMENT INC
27,0001009027,CUTLER OIL & GAS CORP/IL
28,0001537014,Candriam Luxembourg S.C.A.
29,0001801989,Cardinal Strategic Wealth Guidance
30,0001765387,Concentrum Wealth Management
31,0001689829,"Connecticut Wealth Management, LLC"
32,0001857493,"Connectus Wealth, LLC"
33,0001851184,"Curi Wealth Management, LLC"
34,0001206792,DEARBORN PARTNERS LLC
35,0001790295,DELTA FINANCIAL ADVISORS LLC
36,0001133197,DOWLING & YAHNKE LLC
37,0001128251,DUPONT CAPITAL MANAGEMENT CORP
38,0001427196,"Diversified Investment Strategies, LLC"
39,0001697865,E-L Financial Corp Ltd
40,0001035912,EADS & HEALD WEALTH MANAGEMENT
41,0000911088,"EII CAPITAL MANAGEMENT, INC."
42,0001015083,"EMERALD ADVISERS, LLC"
43,0001352895,EMERALD MUTUAL FUND ADVISERS TRUST
44,0001640951,Empire Life Investments Inc.
45,0001580572,"Eos Focused Equity Management, L.P."
46,0001548882,"Eos Management, L.P."
47,0001732768,Exor Capital LLP
48,0001697137,FACTORIAL MANAGEMENT Ltd
49,0000949623,FINANCIAL COUNSELORS INC
50,0001633869,First Personal Financial Services
51,0001696209,Fusion Family Wealth LLC
52,0000908551,HERSHEY TRUST CO
53,0001161722,HOLLENCREST CAPITAL MANAGEMENT
54,0001398318,Handelsbanken Fonder AB
55,0001695959,"Hapanowicz & Associates Financial Services, Inc"
56,0001588225,"Heronetta Management, L.P."
57,0001827261,"IAG Wealth Partners, LLC"
58,0001334952,"INSIGHT 2811, INC."
59,0001569606,INVESTMENTAKTIENGESELLSCHAFT FUER LANGFRISTIGE INVESTOREN TG
60,0001802136,"Investment Research & Advisory Group, Inc."
61,0001730478,"Ironvine Capital Partners, LLC"
62,0001707975,Jordan Park Group LLC
63,0001605429,"KABOUTER MANAGEMENT, LLC"
64,0001723223,"KILEY JUERGENS WEALTH MANAGEMENT, LLC"
65,0000859872,KLINGENSTEIN FIELDS & CO LP
66,0001662449,"Klingman & Associates, LLC"
67,0001748965,LANNEBO FONDER AB
68,0000939219,LEE DANNER & BASS INC
69,0001801634,"LWS Wealth Advisors, Inc."
70,0001689144,"Legacy Bridge, LLC"
71,0001842370,"M. Kulyk & Associates, LLC"
72,0001836506,"MITCHELL & PAHL PRIVATE WEALTH, LLC"
73,0001080351,MITCHELL CAPITAL MANAGEMENT CO
74,0001764260,"Maltin Wealth Management, Inc."
75,0001383782,"Merrion Investment Management Co, LLC"
76,0001849767,"Miami Corp Management, LLC"
77,0001801774,Minot Wealth Management LLC
78,0001585859,"Miracle Mile Advisors, LLC"
79,0001633446,Mirador Capital Partners LP
80,0001542143,"Modera Wealth Management, LLC"
81,0001367663,"Mohican Financial Management, LLC"
82,0001056559,NORTH STAR ASSET MANAGEMENT INC
83,0001731466,"New Potomac Partners, LLC"
84,0001742569,"O'Dell Group, LLC"
85,0001666239,Oliver Luxxe Assets LLC
86,0001844201,"Opal Wealth Advisors, LLC"
87,0001766005,PRUDENT INVESTORS NETWORK
88,0001844577,Pacific Asset Management LLC
89,0001597691,"Paradigm Financial Advisors, LLC"
90,0001859579,"Paradigm, Strategies in Wealth Management, LLC"
91,0001694883,"Patriot Financial Group Insurance Agency, LLC"
92,0001773830,Patriot Investment Management Inc.
93,0001669662,"Peak Financial Management, Inc."
94,0001801523,"Perennial Investment Advisors, LLC"
95,0001803255,Petix & Botte Co
96,0001694592,"Pettinga Financial Advisors, LLC"
97,0001726752,"Pinnacle Wealth Planning Services, Inc."
98,0001831332,"Planned Solutions, Inc."
99,0001453526,"Private Harbour Investment Management & Counsel, LLC"
100,0001804329,"Procyon Private Wealth Partners, LLC"
101,0001741426,"Quad-Cities Investment Group, LLC"
102,0001843510,Quaero Capital S.A.
103,0001217758,REGENTATLANTIC CAPITAL LLC
104,0001672681,RETIREMENT CAPITAL STRATEGIES
105,0001599795,"ROBINSON CAPITAL MANAGEMENT, LLC"
106,0001028874,ROOF EIDAM & MAYCOCK/ADV
107,0001679031,RSM US WEALTH MANAGEMENT LLC
108,0001793691,Relyea Zuckerberg Hanson LLC
109,0001469751,"RiverFront Investment Group, LLC"
110,0001769700,"Roubaix Capital, LLC"
111,0001810099,"Royal Fund Management, LLC"
112,0000882119,SAGE FINANCIAL GROUP INC
113,0001105467,SAWGRASS ASSET MANAGEMENT LLC
114,0000899211,SECURITY ASSET MANAGEMENT
115,0001802290,SENTINEL PENSION ADVISORS INC
116,0001800913,"SPRENG CAPITAL MANAGEMENT, INC."
